channel_id,channel_title,video_id,cluster_label,Labels,pca_1,pca_2,kmeans_cluster,hierarchical_cluster,dbscan_cluster
UCYA8cEWaqrpB4olR5533p5Q,Anwar Haq,ms1n039WShY,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-0.531477197,0.176575117,3,0,0
UChz4r4VXwPxTqx083Am0IeQ,Khoury College of Computer Sciences,r1xphxV7rfw,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,0.62341951,-2.561076323,0,3,2
UCDybamfye5An6p-j1t2YMsg,Mo Chen,WOazgGn_0ew,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,0.313555709,-1.753537313,0,3,2
UCn1USB9-5UqKJTSHd1JGcVw,BEPEC,MDDakzhv3_8,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-0.837124769,0.359801605,1,1,1
UC8_RSKwbU1OmZWNEoLV1tQg,Data with Baraa,u8ABLLK3-z0,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-0.894157074,0.077621523,1,1,1
UC8_RSKwbU1OmZWNEoLV1tQg,Data with Baraa,u8ABLLK3-z0,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-0.894157074,0.077621523,1,1,1
UCxladMszXan-jfgzyeIMyvw,Rob Mulla,XbiZLYT1-_8,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-1.188719578,0.080393252,1,1,1
UCn1USB9-5UqKJTSHd1JGcVw,BEPEC,Ep7_U4UDBAs,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.201277785,0.094354915,3,1,1
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,z8kAQPEVanw,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.183413764,-2.038629495,3,1,1
UCWB6r6WZT1Q7dd_gK-yHCMA,Hire Ready,8r9Jxeog7T0,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-0.550346228,-2.201534291,3,1,1
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,8YbeH4vYtrM,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,0.505255639,-2.115227731,0,3,2
UCn1USB9-5UqKJTSHd1JGcVw,BEPEC,vwCK7WA5Z_E,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-1.63338287,1.072534497,1,1,-1
UCn1USB9-5UqKJTSHd1JGcVw,BEPEC,vwCK7WA5Z_E,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-1.63338287,1.072534497,1,1,-1
UCZ50rYSkYQG31YDEJm9Di_g,Coursera,9qqkbPqFq3Q,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,0.737840339,-2.960590432,0,3,-1
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,HsjErdmLmxo,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,1.080391128,-1.979899662,0,3,-1
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,o3DU3iWXTP0,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.231665413,-1.354145174,3,1,1
UCH6gDteHtH4hg3o2343iObA,Analytics Vidhya,LVrRpjmgfgc,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-1.666317362,1.162356281,1,1,1
UCH6gDteHtH4hg3o2343iObA,Analytics Vidhya,LVrRpjmgfgc,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-1.666317362,1.162356281,1,1,1
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,PcYZyb93Peg,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-1.547031851,0.730802765,1,1,1
UCHEEZf5xSxfQD_t0o0pUaaw,Maggie In Data,TWjv4j1g02g,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,-0.337995435,-1.240385359,0,1,-1
UCH6gDteHtH4hg3o2343iObA,Analytics Vidhya,OKU32_-2X5A,"High-Technical, Structured & Neutral-Positive Content",Technical and Structured,-0.465755413,-1.525804934,0,1,1
UCH6gDteHtH4hg3o2343iObA,Analytics Vidhya,x60LqaZrfzg,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.107481268,-1.143983862,3,1,1
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,OSouzugoOXs,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-1.269836348,0.579529249,1,1,1
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,XtYpxjTawVE,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-1.852140502,1.820135936,1,2,1
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,fOqPWQ28s20,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-1.852140502,1.820135936,1,2,1
UCjvMTgaYGYwvS3HpQJo4edQ,Top Universities,knDa_r4Nggw,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-1.960805654,1.735673595,1,2,1
UC7zZ2-Q_oxbUaoMVL0z51wg,Sajjaad Khader,6FjXcNt5FrA,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-1.696774424,1.908358553,1,2,1
UC7zZ2-Q_oxbUaoMVL0z51wg,Sajjaad Khader,aYBAYmnnhYk,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-1.512304552,1.22477744,1,1,1
UCelp2mfpa0fors7HePAodoA,Jean Lee,2oOEctI1Uzo,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-1.922131302,1.799523806,1,2,1
UCkR95L-wEZ6ClrPzqDPsiwA,Charlotte Chaze | Break Into Tech,F25knulvz-A,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.398773122,-0.794864936,3,1,-1
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,L5bxMgXEfTw,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-1.795546565,1.841909019,1,2,1
UCAq9f7jFEA7Mtl3qOZy2h1A,Data with Zach,cfHp0vvT0YM,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.606318149,-0.42957704,3,1,1
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,OJyCtg6cdto,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-0.999732579,-0.661209766,1,1,1
UCAq9f7jFEA7Mtl3qOZy2h1A,Data with Zach,UeqBOpopz1k,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.460711638,-0.513911904,3,1,1
UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,PLVmp1V7kIY,"Clear, Beginner-Friendly & Positive Content",Clear and Beginner friendly,-2.030058548,1.736405432,1,2,1
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,E4pB8CDPklE,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.602211291,-0.853241325,3,1,1
UCteRPiisgIoHtMgqHegpWAQ,Sundas Khalid,E4pB8CDPklE,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.602211291,-0.853241325,3,1,1
UCCktnahuRFYIBtNnKT5IYyg,Intellipaat,ungiC5ugka8,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.770384645,-0.213774226,3,1,1
UCn1USB9-5UqKJTSHd1JGcVw,BEPEC,ZfBOYJgCTKA,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.894995776,-0.005775438,3,1,1
UCn1USB9-5UqKJTSHd1JGcVw,BEPEC,ZfBOYJgCTKA,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.894995776,-0.005775438,3,1,1
UCh9nVJoWXmFb7sLApWGcLPQ,codebasics,,"Low-Technical, Emotion-Driven Content",Emotion Driven- Low Technical,-1.480152088,-1.030134708,3,1,-1
